area,date,volume
43307.57,2020-12-07,377
84137.30 ,2020-10-18,795
156994.15,2020-10-29,1413
163008.91,2020-10-14,1513
71285.64,2020-10-19,661
108866.77,2020-10-22,939
147381.10,2020-10-16,1382
112685.07 ,2020-10-17,992
93741.39 ,2020-10-11,843
106203.69,2020-10-23,925
98168.00,2020-10-21,850
49337.22 ,2020-09-20,418
61132.41,2020-10-12,578
37544.45,2020-09-21,328
64458.25,2020-09-23,548
71018.83,2020-09-24,600
106413.87 ,2020-09-19,934
86442.50,2020-10-20,775
100841.18,2020-09-17,881
99647.20,2020-09-26,876
54036.44,2020-09-27,473
66039.15,2020-09-01,578
97441.55,2020-08-28,852
127592.75,2020-09-18,1122
53542.44,2020-09-22,476
86328.08 ,2020-08-29,734
59180.48 ,2020-08-30,491
47341.49,2020-08-31,408
76345.73,2020-09-28,681
76563.66,2020-09-25,691
45289.16,2020-09-06,386
75993.31,2020-09-29,660
36240.57,2020-09-07,301
85035.97,2020-09-04,728
54740.68,2020-09-02,481
76527.57,2020-09-08,648
70111.12,2020-09-09,590
82516.27,2020-09-11,698
58071.82,2020-09-15,506
95486.04,2020-09-05,813
72446.19,2020-09-03,623
28638.58,2020-09-14,260
71607.18 ,2020-10-01,624
95874.62,2020-09-30,846
24565.11,2020-10-03,212
88510.56,2020-08-08,781
68878.41,2020-08-11,614
46098.39,2020-09-13,406
67213.58,2020-09-10,573
73763.90,2020-08-12,639
23957.25 ,2020-10-02,211
69818.85,2020-09-12,599
63804.74,2020-09-16,545
86598.27,2020-08-14,751
44155.52,2020-08-09,388
30177.88,2020-08-17,274
90515.06,2020-08-19,811
39840.09,2020-08-10,351
72776.51,2020-07-19,700
56890.40,2020-08-16,499
56530.91,2020-07-20,499
88507.53,2020-07-22,785
74998.50,2020-07-21,670
69779.97,2020-08-15,597
83511.35,2020-07-25,747
48575.79,2020-07-26,438
36401.55,2020-07-27,332
88230.87,2020-07-23,756
81264.40,2020-07-29,709
96901.77,2020-07-30,833
65640.12,2020-08-18,595
96171.55,2020-07-24,834
104329.68,2020-07-31,923
28085.80 ,2020-08-02,243
79717.06,2020-08-13,686
79899.96,2020-07-28,705
88708.16,2020-08-06,774
63789.71,2020-08-05,574
61628.36,2020-08-04,556
68907.04,2020-06-29,626
94830.39,2020-06-30,847
65697.16,2020-08-01,563
89436.26,2020-07-01,797
104453.00,2020-08-07,918
90786.32,2020-07-03,791
89814.82,2020-08-20,795
73355.80,2020-08-21,635
98143.74,2020-07-04,867
50021.94,2020-07-05,418
64920.17,2020-07-02,572
72531.79,2020-07-07,658
87001.52,2020-07-08,792
104581.09 ,2020-07-11,900
118739.74,2020-07-10,1023
28100.53,2020-08-03,256
82402.94,2020-07-14,732
47762.08 ,2020-07-12,416
82713.33,2020-07-15,717
83881.26,2020-08-22,682
110134.97,2020-07-09,993
83677.92,2020-06-13,704
93974.64,2020-07-17,816
42697.74,2020-08-23,371
99787.87,2020-07-16,883
89041.82,2020-07-18,772
42125.36,2020-07-13,377
52861.55,2020-06-11,466
48319.37,2020-06-14,418
30969.19,2020-06-15,274
38723.00,2020-06-09,345
82850.56,2020-06-19,704
45397.40,2020-06-10,410
64522.02,2020-06-21,575
46633.98,2020-06-16,396
73133.64,2020-05-21,614
78941.71,2020-06-18,694
70026.41,2020-06-17,610
95539.41,2020-06-20,830
72830.57,2020-05-20,639
114525.35,2020-05-24,992
4152.62,2020-05-26,50
7968.10,2020-05-27,75
89535.71,2020-05-22,754
18486.99,2020-05-28,162
54038.25,2020-06-12,457
21651.42,2020-05-29,175
68300.70,2020-04-30,612
39368.83,2020-05-25,336
42043.83,2020-05-01,376
176152.04,2020-05-23,1632
10299.18,2020-05-04,84
18162.37,2020-05-02,158
13258.78,2020-05-05,122
15106.41,2020-05-06,133
30049.14,2020-05-07,259
23824.20 ,2020-05-30,207
47408.47,2020-05-10,421
43770.21,2020-05-12,392
60740.11,2020-05-14,544
46851.01,2020-05-08,407
29440.07,2020-05-11,264
48195.13,2020-05-09,421
26503.79,2020-04-18,229
50891.10,2020-05-13,464
10645.07,2020-04-12,94
27665.58,2020-04-14,234
32271.44,2020-04-15,292
20215.06,2020-04-11,165
40991.05,2020-04-16,383
33504.00,2020-04-17,296
15292.75,2020-04-10,135
21121.43,2020-04-19,199
64106.49,2020-05-15,539
10409.09,2020-04-13,90
30610.58,2020-04-21,268
19525.37,2020-04-20,178
45891.64,2020-04-24,402
14328.21,2020-05-03,125
66260.49,2020-01-15,578
34775.53,2020-04-22,311
29259.45,2020-01-19,262
57016.27,2020-04-23,518
66152.14,2020-01-18,575
51023.83,2020-01-20,456
81105.68,2020-01-16,647
53608.05,2020-01-21,466
5686.62,2020-03-30,50
5441.04,2020-04-01,49
73500.47,2020-01-17,619
16714.77,2020-04-03,130
3991.70,2020-01-23,35
16519.07,2020-04-04,138
2614.64,2020-03-31,24
86736.05,2019-12-26,739
4535.82,2020-04-05,44
2364.86,2020-04-07,21
4393.78,2020-04-06,49
47091.59,2019-12-30,400
86397.41,2019-12-28,759
61152.21,2019-12-29,538
60389.63,2020-01-01,528
84716.20,2019-12-31,736
35925.32,2020-01-02,311
102705.72,2019-12-27,898
50289.57,2020-01-05,423
72104.31,2020-01-03,618
32998.36,2020-01-06,287
51279.45,2019-12-10,452
82981.80,2020-01-04,707
102905.6,2019-12-08,899
90521.86,2019-12-12,769
3787.87,2020-04-02,34
33001.60,2020-01-22,287
87195.34,2019-12-15,761
57618.37,2019-12-16,487
73670.34,2019-12-13,646
62908.13,2019-12-09,539
81586.84,2019-12-11,710
94327.28,2019-12-18,846
82871.72,2019-12-20,733
80474.53,2019-12-14,713
36535.03,2019-12-17,319
94929.85,2019-12-19,865
50091.35,2020-07-06,461
68615.90,2019-12-17,601
75531.49,2019-12-21,651
51937.67,2019-12-22,447
77817.05,2019-12-24,678
95361.64,2019-11-17,836
68618.07,2019-11-20,603
44815.77,2019-12-23,397
119744.47,2019-11-22,1031
80164.39,2019-11-21,717
127234.64,2019-11-23,1110
30135.29,2019-11-18,249
99672.46,2019-11-27,862
40760.44,2019-11-25,364
29627.36,2019-11-19,262
120747.58,2019-11-28,1013
53981.39,2019-10-29,452
39725.78,2019-10-28,334
86528.72,2019-10-30,760
96991.09,2019-10-31,844
64129.84,2019-11-03,565
87436.66,2019-11-24,781
63959.28,2019-11-02,556
112125.96,2019-12-07,964
51788.61,2019-11-05,461
79045.80,2019-11-06,747
85510.80,2019-11-08,850
72581.04,2019-11-09,672
39129.76,2019-11-04,335
58109.91,2019-11-14,525
22891.97,2019-11-12,211
55828.31,2019-11-26,502
97861.65,2019-11-01,843
72814.03,2019-11-13,650
21359.06,2019-10-08,186
77594.83,2019-11-11,642
75272.18,2019-11-07,727
146751.60,2019-10-12,1341
69390.78,2019-11-15,643
35283.46,2019-10-09,318
15323.47,2019-11-11,124
132517.88,2019-10-13,1219
61931.89,2019-10-15,561
116536.49,2019-10-14,1020
105285.72,2019-10-19,924
57277.43,2019-11-16,522
97711.08,2019-10-16,891
86612.32,2019-10-20,764
146412.33,2019-10-11,1311
78609.71,2019-09-18,678
117361.22,2019-10-17,1042
87156.81,2019-09-19,742
74488.50,2019-10-10,671
36194.24,2019-09-23,345
32408.52,2019-09-24,292
106543.3,2019-09-22,963
86269.71,2019-09-20,761
99445.25,2019-09-21,877
78896.31,2019-09-26,693
91680.37,2019-09-27,815
56796.93,2019-09-25,496
70977.63,2019-08-30,607
92716.97,2019-08-29,814
98329.58,2019-08-31,868
64869.68,2019-09-28,584
106336.53,2019-10-18,956
92856.56,2019-09-01,833
101257.26,2019-09-06,921
90671.90,2019-09-07,823
40436.00,2019-09-03,360
101287.51,2019-09-08,883
66392.80,2019-09-11,564
